step,time_ps,stage,target_temperature_K,temperature_K,potential_energy_kJ_mol,ligand_distance_TYR13_A,ligand_distance_VAL17_A,ligand_distance_SER20_A,ligand_key_min_distance_A,ligand_near_chains_count,ligand_heavy_rmsd_A,severe_lt_1A,close_lt_1p5A,status
100,0.05,50K_2ps,50,48.9975,-594543.880185,4.17188,3.92969,3.253,3.253,2,0.0768395,0,0,ok
200,0.1,50K_2ps,50,49.5218,-594166.871396,4.12156,3.82242,3.28268,3.28268,2,0.0845089,0,0,ok
300,0.15,50K_2ps,50,49.5585,-593910.498838,4.04406,3.82214,3.31595,3.31595,2,0.124769,0,0,ok
400,0.2,50K_2ps,50,49.6312,-593833.859189,4.15104,3.78175,3.3006,3.3006,2,0.173513,0,0,ok
500,0.25,50K_2ps,50,49.6203,-593761.892392,4.09364,3.81931,3.35227,3.35227,2,0.20034,0,0,ok
600,0.3,50K_2ps,50,49.9257,-593814.235166,4.29701,3.83737,3.34328,3.34328,2,0.246447,0,0,ok
700,0.35,50K_2ps,50,50.2006,-593888.693662,4.21199,3.82604,3.36147,3.36147,2,0.25936,0,0,ok
800,0.4,50K_2ps,50,49.8941,-593795.268369,4.16583,3.83817,3.46731,3.46731,2,0.267701,0,0,ok
900,0.45,50K_2ps,50,50.1195,-593867.554014,4.24242,3.88489,3.43518,3.43518,2,0.272894,0,0,ok
1000,0.5,50K_2ps,50,50.139,-594107.750791,4.21138,4.09508,3.40604,3.40604,2,0.26332,0,0,ok
1100,0.55,50K_2ps,50,50.0993,-593921.320615,4.16728,4.09062,3.49123,3.49123,2,0.256571,0,0,ok
1200,0.6,50K_2ps,50,49.8578,-593988.67999,4.26137,4.08318,3.3738,3.3738,2,0.251564,0,0,ok
1300,0.65,50K_2ps,50,50.322,-594073.795224,4.26788,4.06182,3.31309,3.31309,2,0.268573,0,0,ok
1400,0.7,50K_2ps,50,50.2445,-593961.258115,4.28032,4.01678,3.26455,3.26455,2,0.300327,0,0,ok
1500,0.75,50K_2ps,50,50.7453,-594099.121396,4.23221,3.90581,3.28118,3.28118,2,0.32573,0,0,ok
1600,0.8,50K_2ps,50,50.5166,-594076.210264,4.29301,3.89512,3.32374,3.32374,2,0.345024,0,0,ok
1700,0.85,50K_2ps,50,50.4317,-594122.784482,4.36917,4.01915,3.34583,3.34583,2,0.365597,0,0,ok
1800,0.9,50K_2ps,50,50.4505,-594252.411435,4.36647,4.08301,3.40566,3.40566,2,0.3891,0,0,ok
1900,0.95,50K_2ps,50,50.6065,-594221.099912,4.45486,4.00952,3.3985,3.3985,2,0.417641,0,0,ok
2000,1,50K_2ps,50,50.8291,-594211.323545,4.51335,4.01108,3.40951,3.40951,2,0.45011,0,0,ok
2100,1.05,50K_2ps,50,50.4778,-594403.106748,4.64145,4.01215,3.40253,3.40253,2,0.478503,0,0,ok
2200,1.1,50K_2ps,50,50.2532,-594316.012998,4.7795,3.98636,3.46556,3.46556,2,0.488226,0,0,ok
2300,1.15,50K_2ps,50,50.2477,-594601.770322,4.89401,4.00115,3.43698,3.43698,2,0.484542,0,0,ok
2400,1.2,50K_2ps,50,50.3201,-594889.161435,4.90688,3.95168,3.47923,3.47923,2,0.477292,0,0,ok
2500,1.25,50K_2ps,50,50.2202,-594645.16583,4.93787,3.98235,3.38141,3.38141,2,0.467938,0,0,ok
2600,1.3,50K_2ps,50,50.1139,-594617.826963,4.94734,3.90312,3.38543,3.38543,2,0.465343,0,0,ok
2700,1.35,50K_2ps,50,50.6125,-594938.205381,4.84171,3.89105,3.41891,3.41891,2,0.461747,0,0,ok
