step,time_ps,stage,target_temperature_K,temperature_K,potential_energy_kJ_mol,ligand_distance_TYR13_A,ligand_distance_VAL17_A,ligand_distance_SER20_A,ligand_key_min_distance_A,ligand_near_chains_count,ligand_heavy_rmsd_A,severe_lt_1A,close_lt_1p5A,status
100,0.05,50K_2ps,50,48.8732,-595215.009846,3.70421,3.74796,3.9215,3.70421,2,0.0550687,0,0,ok
200,0.1,50K_2ps,50,49.1713,-595087.397541,3.55408,3.7354,3.90152,3.55408,2,0.107871,0,0,ok
300,0.15,50K_2ps,50,49.7088,-594966.285237,3.42514,3.72031,3.97363,3.42514,2,0.12912,0,0,ok
400,0.2,50K_2ps,50,49.8741,-594885.21883,3.44641,3.69361,3.86782,3.44641,2,0.16094,0,0,ok
500,0.25,50K_2ps,50,49.746,-594876.012776,3.56061,3.68464,3.85504,3.56061,2,0.193416,0,0,ok
600,0.3,50K_2ps,50,49.8109,-594854.402424,3.65726,3.66576,3.88837,3.65726,2,0.224601,0,0,ok
700,0.35,50K_2ps,50,49.926,-594999.426838,3.51892,3.6799,3.99115,3.51892,2,0.241298,0,0,ok
800,0.4,50K_2ps,50,49.9509,-594885.330159,3.52878,3.6613,4.01726,3.52878,2,0.239577,0,0,ok
900,0.45,50K_2ps,50,50.3294,-594936.041096,3.52761,3.67802,3.96814,3.52761,2,0.216125,0,0,ok
1000,0.5,50K_2ps,50,50.266,-594887.701252,3.57469,3.68596,4.05397,3.57469,2,0.202933,0,0,ok
1100,0.55,50K_2ps,50,50.378,-594978.652912,3.58046,3.78532,4.0641,3.58046,2,0.185945,0,0,ok
1200,0.6,50K_2ps,50,50.0883,-594943.862385,3.66629,3.84066,4.15824,3.66629,2,0.18482,0,0,ok
1300,0.65,50K_2ps,50,50.298,-594899.459065,3.63583,3.94841,4.32077,3.63583,2,0.205524,0,0,ok
1400,0.7,50K_2ps,50,50.5464,-595083.616291,3.57592,3.94151,4.28149,3.57592,2,0.203864,0,0,ok
1500,0.75,50K_2ps,50,50.1747,-595201.113362,3.59985,3.77577,4.31766,3.59985,2,0.186274,0,0,ok
1600,0.8,50K_2ps,50,50.3295,-595243.964924,3.46794,3.66117,4.32951,3.46794,2,0.199713,0,0,ok
1700,0.85,50K_2ps,50,50.0145,-595309.844319,3.48844,3.71293,4.22915,3.48844,2,0.201755,0,0,ok
1800,0.9,50K_2ps,50,49.9704,-595276.316487,3.53013,3.64116,4.29327,3.53013,2,0.201271,0,0,ok
1900,0.95,50K_2ps,50,50.2896,-595303.891682,3.65699,3.82477,4.3476,3.65699,2,0.184876,0,0,ok
2000,1,50K_2ps,50,49.9329,-595452.706135,3.56358,3.79024,4.38383,3.56358,2,0.170881,0,0,ok
2100,1.05,50K_2ps,50,50.3437,-595616.332112,3.4797,3.74891,4.19332,3.4797,2,0.173474,0,0,ok
2200,1.1,50K_2ps,50,50.0305,-595386.886311,3.59246,3.79316,4.07111,3.59246,2,0.170392,0,0,ok
2300,1.15,50K_2ps,50,50.2685,-595579.865315,3.58628,3.71136,4.10271,3.58628,2,0.175757,0,0,ok
2400,1.2,50K_2ps,50,50.5303,-595864.889729,3.48775,3.72992,4.08473,3.48775,2,0.18881,0,0,ok
2500,1.25,50K_2ps,50,50.2815,-595746.714436,3.56898,3.78072,4.18352,3.56898,2,0.191742,0,0,ok
2600,1.3,50K_2ps,50,50.2443,-595776.817463,3.63578,3.82445,4.22098,3.63578,2,0.178548,0,0,ok
2700,1.35,50K_2ps,50,50.2333,-595805.650471,3.68433,3.80172,4.31389,3.68433,2,0.181954,0,0,ok
2800,1.4,50K_2ps,50,50.4712,-595882.423909,3.61709,3.73767,4.31861,3.61709,2,0.191659,0,0,ok
2900,1.45,50K_2ps,50,50.4484,-595771.87801,3.4151,3.77465,4.29181,3.4151,2,0.203366,0,0,ok
3000,1.5,50K_2ps,50,50.3203,-595772.732014,3.35286,3.78493,4.37299,3.35286,2,0.200283,0,0,ok
3100,1.55,50K_2ps,50,50.2931,-595837.637287,3.47114,3.84467,4.30063,3.47114,2,0.184623,0,0,ok
3200,1.6,50K_2ps,50,50.2447,-595779.629963,3.66811,3.85819,4.18506,3.66811,2,0.180027,0,0,ok
3300,1.65,50K_2ps,50,50.3836,-595959.322346,3.75984,3.85525,4.24408,3.75984,2,0.185375,0,0,ok
3400,1.7,50K_2ps,50,50.3977,-596310.699787,3.67394,3.82889,4.27651,3.67394,2,0.189179,0,0,ok
3500,1.75,50K_2ps,50,50.1209,-596294.026448,3.63652,3.8101,4.16036,3.63652,2,0.203654,0,0,ok
3600,1.8,50K_2ps,50,49.9179,-596247.328205,3.56799,3.72463,4.02825,3.56799,2,0.204666,0,0,ok
3700,1.85,50K_2ps,50,50.0633,-596412.357502,3.65802,3.73884,4.18414,3.65802,2,0.200334,0,0,ok
3800,1.9,50K_2ps,50,49.4416,-596335.266194,3.64703,3.86433,4.32281,3.64703,2,0.183786,0,0,ok
3900,1.95,50K_2ps,50,49.9484,-596566.492756,3.6727,3.86515,4.46041,3.6727,2,0.177484,0,0,ok
4000,2,50K_2ps,50,50.4152,-596579.253987,3.6638,3.98738,4.52186,3.6638,2,0.194144,0,0,ok
4100,2.05,100K_2ps,100,70.8348,-588805.056233,3.674,4.01986,4.56436,3.674,2,0.230239,0,0,ok
4200,2.1,100K_2ps,100,81.8276,-582952.041096,3.49781,3.89809,4.42078,3.49781,2,0.266643,0,0,ok
4300,2.15,100K_2ps,100,88.4431,-579222.752034,3.43157,3.65348,4.23598,3.43157,2,0.295467,0,0,ok
4400,2.2,100K_2ps,100,93.0118,-577034.152424,3.5369,3.61291,4.37412,3.5369,2,0.292443,0,0,ok
4500,2.25,100K_2ps,100,95.9092,-575484.647541,3.53354,3.80702,4.38243,3.53354,2,0.307896,0,0,ok
4600,2.3,100K_2ps,100,97.2388,-574576.808674,3.42579,3.98109,4.36832,3.42579,2,0.326647,0,0,ok
4700,2.35,100K_2ps,100,98.5512,-574049.510823,3.46101,4.01608,4.26905,3.46101,2,0.326812,0,0,ok
4800,2.4,100K_2ps,100,99.401,-573694.932698,3.41326,3.87843,4.24678,3.41326,2,0.343247,0,0,ok
4900,2.45,100K_2ps,100,99.1481,-573571.170979,3.63123,3.6376,4.25558,3.63123,2,0.34652,0,0,ok
5000,2.5,100K_2ps,100,99.6827,-573549.59383,3.67155,3.62561,4.40615,3.62561,2,0.345564,0,0,ok
5100,2.55,100K_2ps,100,100.095,-573490.268635,3.67472,3.63358,4.4053,3.63358,2,0.344595,0,0,ok
5200,2.6,100K_2ps,100,100.197,-573428.026448,3.73784,3.60166,4.36298,3.60166,2,0.34744,0,0,ok
5300,2.65,100K_2ps,100,99.7341,-573416.519612,3.58069,3.69801,4.32898,3.58069,2,0.350428,0,0,ok
5400,2.7,100K_2ps,100,100.45,-573268.657795,3.33008,3.77795,4.3196,3.33008,2,0.349701,0,0,ok
5500,2.75,100K_2ps,100,99.9594,-572992.132893,3.53428,3.85923,4.29101,3.53428,2,0.340411,0,0,ok
5600,2.8,100K_2ps,100,100.196,-573361.803791,3.57005,3.6207,4.42931,3.57005,2,0.331858,0,0,ok
5700,2.85,100K_2ps,100,100.557,-573509.669026,3.63488,3.68594,4.47672,3.63488,2,0.348787,0,0,ok
5800,2.9,100K_2ps,100,99.8332,-573388.697346,3.59774,3.68534,4.53604,3.59774,2,0.351054,0,0,ok
5900,2.95,100K_2ps,100,100.119,-573491.705159,3.51716,3.7507,4.64164,3.51716,2,0.355191,0,0,ok
6000,3,100K_2ps,100,99.8846,-573545.961994,3.50699,3.82114,4.70607,3.50699,2,0.378921,0,0,ok
6100,3.05,100K_2ps,100,100.491,-573905.087483,3.60729,3.97556,4.82938,3.60729,2,0.414763,0,0,ok
6200,3.1,100K_2ps,100,99.9147,-573486.039631,3.71104,4.11416,4.70025,3.71104,2,0.427992,0,0,ok
6300,3.15,100K_2ps,100,100.37,-573786.466877,3.69804,4.02938,4.53303,3.69804,2,0.433989,0,0,ok
