step,time_ps,stage,target_temperature_K,temperature_K,potential_energy_kJ_mol,ligand_distance_TYR13_A,ligand_distance_VAL17_A,ligand_distance_SER20_A,ligand_key_min_distance_A,ligand_near_chains_count,ligand_heavy_rmsd_A,severe_lt_1A,close_lt_1p5A,status
100,0.05,50K_2ps,50,48.6294,-607299.814128,3.56177,3.56932,5.76406,3.56177,2,0.0540763,0,0,ok
200,0.1,50K_2ps,50,49.1819,-607176.301921,3.59247,3.70394,5.77811,3.59247,2,0.111647,0,0,ok
300,0.15,50K_2ps,50,49.4816,-607109.712566,3.51623,3.82795,5.79939,3.51623,2,0.132207,0,0,ok
400,0.2,50K_2ps,50,49.4631,-606903.485026,3.53234,3.7705,5.90937,3.53234,2,0.153736,0,0,ok
500,0.25,50K_2ps,50,49.7699,-606914.690105,3.37958,3.76831,5.99407,3.37958,2,0.193787,0,0,ok
600,0.3,50K_2ps,50,50.0871,-606772.434734,3.39663,3.74033,5.92719,3.39663,2,0.209492,0,0,ok
700,0.35,50K_2ps,50,50.187,-606864.127116,3.34794,3.78184,6.02337,3.34794,2,0.216711,0,0,ok
800,0.4,50K_2ps,50,50.1049,-606764.035808,3.40743,3.72903,6.05264,3.40743,2,0.223935,0,0,ok
900,0.45,50K_2ps,50,50.2775,-606745.725261,3.58344,3.77118,6.02479,3.58344,2,0.222839,0,0,ok
1000,0.5,50K_2ps,50,50.0236,-606884.747234,3.55454,3.71587,6.04737,3.55454,2,0.222178,0,0,ok
1100,0.55,50K_2ps,50,50.1123,-606907.533366,3.46775,3.78803,6.14677,3.46775,2,0.230819,0,0,ok
1200,0.6,50K_2ps,50,49.7721,-606944.181316,3.42473,3.74661,6.16824,3.42473,2,0.237217,0,0,ok
1300,0.65,50K_2ps,50,50.0134,-607104.249675,3.49852,3.81169,6.15842,3.49852,2,0.241562,0,0,ok
1400,0.7,50K_2ps,50,49.9112,-606850.774089,3.58501,3.75379,6.1637,3.58501,2,0.248908,0,0,ok
1500,0.75,50K_2ps,50,49.9801,-607041.063151,3.51451,3.81936,6.14966,3.51451,2,0.250605,0,0,ok
1600,0.8,50K_2ps,50,50.0129,-607191.708171,3.49615,3.74717,6.09056,3.49615,2,0.263647,0,0,ok
1700,0.85,50K_2ps,50,49.8123,-607172.691081,3.46849,3.73122,6.14919,3.46849,2,0.28267,0,0,ok
1800,0.9,50K_2ps,50,50.2287,-607228.447429,3.44893,3.66506,6.05832,3.44893,2,0.300838,0,0,ok
1900,0.95,50K_2ps,50,50.4871,-607442.29362,3.59074,3.76033,6.10951,3.59074,2,0.296983,0,0,ok
2000,1,50K_2ps,50,50.2545,-607305.259441,3.57205,3.72998,6.00434,3.57205,2,0.288485,0,0,ok
2100,1.05,50K_2ps,50,50.3376,-607378.362956,3.54533,3.8474,6.101,3.54533,2,0.302176,0,0,ok
2200,1.1,50K_2ps,50,50.1717,-607447.818034,3.47716,3.86288,6.11884,3.47716,2,0.305334,0,0,ok
2300,1.15,50K_2ps,50,50.0474,-607576.491862,3.50093,3.82584,6.0538,3.50093,2,0.288992,0,0,ok
2400,1.2,50K_2ps,50,49.9962,-607620.675944,3.40206,3.7929,6.14255,3.40206,2,0.273874,0,0,ok
2500,1.25,50K_2ps,50,50.0846,-607688.872234,3.45678,3.88302,6.11928,3.45678,2,0.268543,0,0,ok
2600,1.3,50K_2ps,50,50.4017,-607904.8903,3.38922,3.79374,5.98278,3.38922,2,0.248739,0,0,ok
2700,1.35,50K_2ps,50,50.1964,-607999.221843,3.44978,3.84858,5.88764,3.44978,2,0.253688,0,0,ok
2800,1.4,50K_2ps,50,50.1096,-607734.85612,3.50642,3.88509,5.95835,3.50642,2,0.25472,0,0,ok
2900,1.45,50K_2ps,50,50.3041,-607924.327312,3.38311,3.84037,5.92537,3.38311,2,0.257363,0,0,ok
3000,1.5,50K_2ps,50,50.0933,-607959.281901,3.47531,3.76831,5.92769,3.47531,2,0.26257,0,0,ok
3100,1.55,50K_2ps,50,50.3068,-608120.631511,3.42047,3.7887,5.88099,3.42047,2,0.275165,0,0,ok
3200,1.6,50K_2ps,50,50.4011,-608304.717448,3.40587,3.79101,5.84717,3.40587,2,0.267894,0,0,ok
3300,1.65,50K_2ps,50,50.0042,-608022.933757,3.46135,3.72457,6.01346,3.46135,2,0.258349,0,0,ok
3400,1.7,50K_2ps,50,49.9012,-608189.92155,3.52035,3.83031,6.11764,3.52035,2,0.263139,0,0,ok
3500,1.75,50K_2ps,50,49.9027,-608393.912273,3.53253,3.77024,6.13194,3.53253,2,0.262415,0,0,ok
3600,1.8,50K_2ps,50,50.2336,-608552.275066,3.50048,3.71777,6.02573,3.50048,2,0.26214,0,0,ok
3700,1.85,50K_2ps,50,50.1675,-608464.879558,3.42238,3.72879,6.02344,3.42238,2,0.258424,0,0,ok
3800,1.9,50K_2ps,50,49.6491,-608397.389323,3.48352,3.78742,6.09176,3.48352,2,0.249035,0,0,ok
3900,1.95,50K_2ps,50,49.9904,-608608.457194,3.54237,3.92064,6.13296,3.54237,2,0.237824,0,0,ok
4000,2,50K_2ps,50,49.7861,-608481.761394,3.41624,3.76585,6.10982,3.41624,2,0.237166,0,0,ok
4100,2.05,100K_2ps,100,71.1929,-600429.081706,3.41286,3.63461,6.17401,3.41286,2,0.248977,0,0,ok
4200,2.1,100K_2ps,100,81.8685,-594619.790202,3.52302,3.62475,6.20312,3.52302,2,0.261908,0,0,ok
4300,2.15,100K_2ps,100,87.9973,-590701.729167,3.45152,3.71327,6.1558,3.45152,2,0.286878,0,0,ok
4400,2.2,100K_2ps,100,92.5922,-588666.001628,3.4338,3.76829,6.1147,3.4338,2,0.318447,0,0,ok
4500,2.25,100K_2ps,100,95.491,-586729.475261,3.44974,3.86525,6.10373,3.44974,2,0.334877,0,0,ok
4600,2.3,100K_2ps,100,97.4441,-586051.749675,3.48674,3.8622,6.02893,3.48674,2,0.356972,0,0,ok
4700,2.35,100K_2ps,100,98.4428,-585417.638347,3.45699,3.77396,6.1142,3.45699,2,0.357916,0,0,ok
4800,2.4,100K_2ps,100,99.2065,-585021.075847,3.39213,3.8264,6.21082,3.39213,2,0.387808,0,0,ok
4900,2.45,100K_2ps,100,99.9075,-584893.319011,3.38213,3.78158,6.26782,3.38213,2,0.421149,0,0,ok
5000,2.5,100K_2ps,100,98.8261,-584867.405925,3.55876,3.79271,6.24396,3.55876,2,0.431744,0,0,ok
5100,2.55,100K_2ps,100,99.7357,-584422.604167,3.44481,3.78976,6.32168,3.44481,2,0.431136,0,0,ok
5200,2.6,100K_2ps,100,100.566,-584832.635417,3.39001,3.92405,6.30039,3.39001,2,0.445319,0,0,ok
5300,2.65,100K_2ps,100,100.155,-584723.763347,3.52427,3.9109,6.19414,3.52427,2,0.421972,0,0,ok
5400,2.7,100K_2ps,100,100.381,-584721.621745,3.50276,3.77759,6.16274,3.50276,2,0.403419,0,0,ok
5500,2.75,100K_2ps,100,100.106,-584658.173015,3.54016,3.90188,6.23183,3.54016,2,0.360787,0,0,ok
5600,2.8,100K_2ps,100,99.8947,-584676.101726,3.53924,3.84262,6.26703,3.53924,2,0.315581,0,0,ok
5700,2.85,100K_2ps,100,100.34,-585121.397136,3.55411,3.94032,6.26259,3.55411,2,0.303145,0,0,ok
5800,2.9,100K_2ps,100,100.191,-584946.764323,3.58295,3.80689,6.16166,3.58295,2,0.291167,0,0,ok
5900,2.95,100K_2ps,100,99.5466,-584763.98698,3.57311,3.82439,6.13683,3.57311,2,0.324174,0,0,ok
6000,3,100K_2ps,100,100.755,-585280.194499,3.52126,3.79418,6.18924,3.52126,2,0.374234,0,0,ok
6100,3.05,100K_2ps,100,100.247,-585155.993816,3.45123,3.84218,6.30065,3.45123,2,0.409897,0,0,ok
6200,3.1,100K_2ps,100,100.246,-585150.69987,3.51739,3.89573,6.18389,3.51739,2,0.407918,0,0,ok
6300,3.15,100K_2ps,100,101.115,-585190.611003,3.40461,3.77598,6.2649,3.40461,2,0.392891,0,0,ok
6400,3.2,100K_2ps,100,99.9397,-584994.248698,3.26982,3.56023,6.15092,3.26982,2,0.398657,0,0,ok
6500,3.25,100K_2ps,100,100.46,-585708.223308,3.39089,3.81375,6.28658,3.39089,2,0.426093,0,0,ok
