step,time_ps,stage,target_temperature_K,temperature_K,potential_energy_kJ_mol,ligand_distance_TYR13_A,ligand_distance_VAL17_A,ligand_distance_SER20_A,ligand_key_min_distance_A,ligand_near_chains_count,ligand_heavy_rmsd_A,severe_lt_1A,close_lt_1p5A,status
100,0.05,50K_2ps,50,49.099,-594608.778451,3.79604,4.00965,4.69057,3.79604,2,0.0742169,0,0,ok
200,0.1,50K_2ps,50,49.0978,-594257.870248,3.73716,4.02327,4.66603,3.73716,2,0.0997286,0,0,ok
300,0.15,50K_2ps,50,49.5186,-594108.779427,3.70624,4.02784,4.66006,3.70624,2,0.126056,0,0,ok
400,0.2,50K_2ps,50,50.0405,-594154.851693,3.7975,4.13189,4.66097,3.7975,2,0.153156,0,0,ok
500,0.25,50K_2ps,50,49.8744,-593986.403451,3.77072,4.20627,4.66801,3.77072,2,0.178255,0,0,ok
600,0.3,50K_2ps,50,50.1192,-593828.759896,3.84994,4.20731,4.69489,3.84994,2,0.200799,0,0,ok
700,0.35,50K_2ps,50,50.4587,-594089.240365,3.82328,4.28431,4.78978,3.82328,2,0.224156,0,0,ok
800,0.4,50K_2ps,50,49.9955,-594151.550912,3.79246,4.23982,4.81394,3.79246,2,0.226022,0,0,ok
900,0.45,50K_2ps,50,49.9867,-594143.560677,3.78395,4.2188,4.80851,3.78395,2,0.233292,0,0,ok
1000,0.5,50K_2ps,50,49.7632,-594157.101693,3.70603,4.21229,4.85588,3.70603,2,0.24419,0,0,ok
1100,0.55,50K_2ps,50,49.6601,-594126.183724,3.70431,4.17014,4.73104,3.70431,2,0.235678,0,0,ok
1200,0.6,50K_2ps,50,50.1674,-594315.448861,3.75017,4.18617,4.81431,3.75017,2,0.211953,0,0,ok
1300,0.65,50K_2ps,50,49.9511,-594303.924935,3.70503,4.13269,4.82078,3.70503,2,0.193708,0,0,ok
1400,0.7,50K_2ps,50,49.9235,-594531.40931,3.75795,4.08687,4.77734,3.75795,2,0.187433,0,0,ok
1500,0.75,50K_2ps,50,50.4161,-594512.624642,3.79336,4.05212,4.78175,3.79336,2,0.212697,0,0,ok
1600,0.8,50K_2ps,50,50.2177,-594449.069466,3.77943,3.98616,4.81637,3.77943,2,0.231269,0,0,ok
1700,0.85,50K_2ps,50,49.8198,-594456.642709,3.83409,4.00181,4.77708,3.83409,2,0.23978,0,0,ok
1800,0.9,50K_2ps,50,49.7533,-594503.026498,3.76947,3.95969,4.77981,3.76947,2,0.246675,0,0,ok
1900,0.95,50K_2ps,50,49.667,-594617.697884,3.62497,3.97747,4.7618,3.62497,2,0.261918,0,0,ok
2000,1,50K_2ps,50,49.6883,-594701.370248,3.67191,3.92156,4.73197,3.67191,2,0.279142,0,0,ok
2100,1.05,50K_2ps,50,49.7114,-594695.707162,3.60741,3.85872,4.7722,3.60741,2,0.279947,0,0,ok
2200,1.1,50K_2ps,50,50.0953,-594750.341439,3.85998,3.8975,4.77858,3.85998,2,0.278201,0,0,ok
2300,1.15,50K_2ps,50,50.3,-595016.130013,3.9087,3.80657,4.66416,3.80657,2,0.296777,0,0,ok
2400,1.2,50K_2ps,50,50.2507,-595031.723763,3.83352,3.92085,4.58798,3.83352,2,0.303274,0,0,ok
2500,1.25,50K_2ps,50,49.9878,-595033.56263,3.83792,3.97853,4.53587,3.83792,2,0.318421,0,0,ok
2600,1.3,50K_2ps,50,49.9609,-595011.826791,3.72502,3.96159,4.57495,3.72502,2,0.323626,0,0,ok
2700,1.35,50K_2ps,50,50.3109,-595044.395638,3.72177,3.87911,4.49734,3.72177,2,0.337503,0,0,ok
2800,1.4,50K_2ps,50,50.4209,-595142.706185,3.70546,3.79086,4.49015,3.70546,2,0.351738,0,0,ok
2900,1.45,50K_2ps,50,50.2461,-595302.717904,3.80503,3.77903,4.49488,3.77903,2,0.360564,0,0,ok
3000,1.5,50K_2ps,50,50.0363,-595211.441537,3.79936,3.96182,4.35697,3.79936,2,0.34781,0,0,ok
3100,1.55,50K_2ps,50,50.3016,-595302.880013,3.78354,3.92959,4.26314,3.78354,2,0.320356,0,0,ok
3200,1.6,50K_2ps,50,50.4076,-595300.042611,3.72778,3.89076,4.414,3.72778,2,0.295639,0,0,ok
3300,1.65,50K_2ps,50,50.3665,-595396.526009,3.67885,4.07144,4.41605,3.67885,2,0.286087,0,0,ok
3400,1.7,50K_2ps,50,50.0282,-595272.358529,3.74472,4.15586,4.35032,3.74472,2,0.297309,0,0,ok
3500,1.75,50K_2ps,50,50.368,-595462.805794,3.7178,4.19906,4.57095,3.7178,2,0.280875,0,0,ok
3600,1.8,50K_2ps,50,50.1179,-595436.475716,3.77844,4.18044,4.63045,3.77844,2,0.272066,0,0,ok
3700,1.85,50K_2ps,50,50.5867,-595686.245248,3.75883,4.25197,4.69636,3.75883,2,0.267246,0,0,ok
3800,1.9,50K_2ps,50,50.3838,-595698.37513,3.88084,4.23074,4.61402,3.88084,2,0.269459,0,0,ok
3900,1.95,50K_2ps,50,50.4323,-595620.120736,3.85289,4.3184,4.72834,3.85289,2,0.278475,0,0,ok
4000,2,50K_2ps,50,50.3064,-595714.133431,3.83554,4.34397,4.8842,3.83554,2,0.303833,0,0,ok
4100,2.05,100K_2ps,100,71.1579,-587877.1139,3.74766,4.36723,4.98643,3.74766,2,0.319216,0,0,ok
4200,2.1,100K_2ps,100,81.8151,-582428.450326,3.66387,4.13015,4.84029,3.66387,2,0.323429,0,0,ok
4300,2.15,100K_2ps,100,88.5954,-578705.176888,3.84821,4.2207,4.69624,3.84821,2,0.326342,0,0,ok
4400,2.2,100K_2ps,100,92.7303,-576322.252084,3.91539,4.15815,4.6329,3.91539,2,0.346293,0,0,ok
4500,2.25,100K_2ps,100,95.2617,-574927.950326,3.76029,3.954,4.56783,3.76029,2,0.364933,0,0,ok
4600,2.3,100K_2ps,100,97.1374,-573779.684212,3.67183,3.85926,4.41593,3.67183,2,0.341584,0,0,ok
