step,time_ps,stage,target_temperature_K,temperature_K,potential_energy_kJ_mol,ligand_distance_TYR13_A,ligand_distance_VAL17_A,ligand_distance_SER20_A,ligand_key_min_distance_A,ligand_near_chains_count,ligand_heavy_rmsd_A,severe_lt_1A,close_lt_1p5A,status
100,0.05,50K_2ps,50,49.2181,-607637.614302,4.24144,3.43274,3.51022,3.43274,2,0.0631076,0,0,ok
200,0.1,50K_2ps,50,49.5425,-607422.431685,4.2121,3.50283,3.50607,3.50283,2,0.0788277,0,0,ok
300,0.15,50K_2ps,50,49.3542,-607190.587935,4.21802,3.47693,3.50086,3.47693,2,0.0787042,0,0,ok
400,0.2,50K_2ps,50,50.0911,-607320.428755,4.25427,3.38743,3.5995,3.38743,2,0.0981051,0,0,ok
500,0.25,50K_2ps,50,49.6364,-607333.865278,4.23001,3.40083,3.67034,3.40083,2,0.155014,0,0,ok
600,0.3,50K_2ps,50,49.8286,-607502.402388,4.2962,3.38787,3.71521,3.38787,2,0.18525,0,0,ok
700,0.35,50K_2ps,50,49.9921,-607346.811567,4.32987,3.3289,3.74355,3.3289,2,0.193581,0,0,ok
800,0.4,50K_2ps,50,50.2681,-607266.779341,4.34613,3.27787,3.84571,3.27787,2,0.225983,0,0,ok
900,0.45,50K_2ps,50,50.4194,-607437.50981,4.37535,3.19143,3.9364,3.19143,2,0.259554,0,0,ok
1000,0.5,50K_2ps,50,50.0712,-607279.823286,4.36347,3.13921,3.93939,3.13921,2,0.271578,0,0,ok
1100,0.55,50K_2ps,50,50.0175,-607369.818403,4.31279,3.13155,3.92116,3.13155,2,0.294587,0,0,ok
1200,0.6,50K_2ps,50,49.9635,-607371.485396,4.14988,3.19244,3.92263,3.19244,2,0.332839,0,0,ok
1300,0.65,50K_2ps,50,50.2193,-607481.640669,4.02807,3.27076,3.92899,3.27076,2,0.34792,0,0,ok
1400,0.7,50K_2ps,50,50.4573,-607426.606489,3.99913,3.25236,3.96564,3.25236,2,0.349798,0,0,ok
1500,0.75,50K_2ps,50,50.3437,-607447.023482,4.00397,3.2515,3.97684,3.2515,2,0.365814,0,0,ok
1600,0.8,50K_2ps,50,50.2924,-607444.642622,4.00695,3.34695,3.93947,3.34695,2,0.368152,0,0,ok
1700,0.85,50K_2ps,50,50.4393,-607545.14604,4.02082,3.4675,3.94765,3.4675,2,0.364104,0,0,ok
1800,0.9,50K_2ps,50,50.6504,-607763.592817,4.06304,3.5653,3.96753,3.5653,2,0.343483,0,0,ok
1900,0.95,50K_2ps,50,50.1386,-607784.234419,4.21203,3.56065,3.86993,3.56065,2,0.325012,0,0,ok
2000,1,50K_2ps,50,50.2062,-607892.912153,4.35323,3.40647,3.88459,3.40647,2,0.298628,0,0,ok
2100,1.05,50K_2ps,50,49.9476,-607734.204146,4.45087,3.27594,3.85053,3.27594,2,0.27433,0,0,ok
2200,1.1,50K_2ps,50,49.7135,-607831.283247,4.35203,3.23391,3.76767,3.23391,2,0.245169,0,0,ok
2300,1.15,50K_2ps,50,49.9891,-607996.187544,4.28896,3.36426,3.78516,3.36426,2,0.254877,0,0,ok
2400,1.2,50K_2ps,50,50.081,-607873.16606,4.27837,3.34132,3.76346,3.34132,2,0.259767,0,0,ok
2500,1.25,50K_2ps,50,50.2768,-608071.216353,4.34606,3.39382,3.74837,3.39382,2,0.251468,0,0,ok
2600,1.3,50K_2ps,50,50.2232,-608087.373579,4.43523,3.43507,3.69816,3.43507,2,0.257734,0,0,ok
2700,1.35,50K_2ps,50,50.4749,-608070.703657,4.42407,3.4486,3.75205,3.4486,2,0.252454,0,0,ok
2800,1.4,50K_2ps,50,50.1399,-608115.990767,4.55377,3.46764,3.71219,3.46764,2,0.240267,0,0,ok
2900,1.45,50K_2ps,50,50.293,-608282.857954,4.51196,3.43314,3.61532,3.43314,2,0.22963,0,0,ok
3000,1.5,50K_2ps,50,50.21,-608395.216841,4.36814,3.38295,3.6041,3.38295,2,0.246243,0,0,ok
3100,1.55,50K_2ps,50,49.6915,-608262.03813,4.27027,3.38178,3.62328,3.38178,2,0.272682,0,0,ok
3200,1.6,50K_2ps,50,50.2223,-608473.615278,4.24265,3.2597,3.64002,3.2597,2,0.30335,0,0,ok
3300,1.65,50K_2ps,50,50.3367,-608482.97856,4.29916,3.18292,3.56083,3.18292,2,0.307545,0,0,ok
