time_ps,system,temperature_K,potential_energy_kJ_mol,ligand_rmsd_A,key_min_distance_A,TYR13_distance_A,VAL17_distance_A,SER20_distance_A,near_chains,severe_clashes,close_contacts,status
1.0,20chol,312.913,-455924.522993,0.654458,4.03959,4.14219,5.94911,4.03959,2,0,0,ok
1.0,40chol,310.025,-445010.143871,0.540049,3.74405,3.74405,5.5132,6.31445,2,0,0,ok
2.0,20chol,307.972,-454502.020552,0.584776,3.66567,4.6441,5.49824,3.66567,2,0,0,ok
2.0,40chol,309.271,-447089.356761,0.488502,3.63683,3.63683,5.70572,5.81113,2,0,0,ok
3.0,20chol,311.363,-455414.036177,0.883027,4.02917,4.02917,5.52392,4.96546,2,0,0,ok
3.0,40chol,310.205,-445236.463207,0.711201,3.49554,3.49554,5.61876,6.26446,2,0,0,ok
4.0,20chol,309.441,-455790.424849,0.776998,4.30441,4.30441,5.40965,4.32813,2,0,0,ok
4.0,40chol,312.575,-446334.64973,1.05222,3.55688,3.55688,6.70151,6.22402,2,0,0,ok
5.0,20chol,309.211,-455565.863325,0.682932,3.80901,4.02496,5.25264,3.80901,2,0,0,ok
5.0,40chol,310.635,-446588.441722,1.0121,3.49633,3.49633,6.40968,6.45799,2,0,0,ok
6.0,20chol,309.022,-456423.385786,0.73233,3.77718,3.79019,4.9443,3.77718,2,0,0,ok
6.0,40chol,309.691,-445978.93391,1.47561,3.98066,3.98066,7.01263,6.27869,2,0,0,ok
7.0,20chol,308.574,-454550.943892,0.584115,3.73091,3.88281,5.43911,3.73091,2,0,0,ok
7.0,40chol,312.302,-445473.287425,1.47595,3.89352,3.89352,6.97215,7.12644,2,0,0,ok
8.0,20chol,309.936,-455591.108442,0.855908,3.44248,4.14673,4.33123,3.44248,2,0,0,ok
8.0,40chol,311.822,-446681.398753,1.13498,3.55929,3.55929,6.74158,6.89947,2,0,0,ok
9.0,20chol,310.762,-454719.229536,0.959257,3.70519,3.70519,4.67027,4.19224,2,0,0,ok
9.0,40chol,308.194,-445828.507152,1.12635,3.96024,3.96024,6.16964,6.42439,2,0,0,ok
10.0,20chol,310.318,-454488.808638,1.02717,3.74299,3.74299,4.72552,4.29161,2,0,0,ok
10.0,40chol,309.929,-445586.528636,1.27159,3.533,3.533,6.23242,6.40044,2,0,0,ok
11.0,20chol,310.545,-455787.969771,1.03404,3.61863,3.61863,4.91847,3.79015,2,0,0,ok
11.0,40chol,311.611,-446130.180003,1.62731,3.69015,3.69015,6.11153,6.90815,2,0,0,ok
12.0,20chol,309.294,-454158.223677,0.952437,3.48618,4.32687,5.09102,3.48618,2,0,0,ok
12.0,40chol,309.187,-447259.817699,1.84507,3.76067,3.76067,6.48954,7.74437,2,0,0,ok
13.0,20chol,308.159,-456510.533735,1.23936,3.29505,4.08995,4.76375,3.29505,2,0,0,ok
13.0,40chol,312.03,-447796.382152,1.4411,3.32758,3.32758,5.92035,7.07439,2,0,0,ok
14.0,20chol,311.83,-455287.000044,1.13983,3.72449,3.72449,4.1484,3.77444,2,0,0,ok
14.0,40chol,312.595,-445280.872386,1.61466,3.5274,3.5274,6.13673,6.34113,2,0,0,ok
15.0,20chol,310.691,-455841.252974,0.829476,3.50054,3.63019,4.96466,3.50054,2,0,0,ok
15.0,40chol,308.767,-445659.660472,0.908287,3.47765,3.47765,5.56274,6.71687,2,0,0,ok
16.0,20chol,308.204,-457246.400435,1.07057,3.36199,3.36199,5.07758,3.78947,2,0,0,ok
16.0,40chol,311.184,-447116.070628,1.58079,3.44397,3.44397,6.76054,6.85061,2,0,0,ok
17.0,20chol,311.491,-454944.832075,1.40694,3.82873,3.82873,5.05388,3.87381,2,0,0,ok
17.0,40chol,311.474,-446484.670238,1.44132,3.61231,3.61231,6.75205,6.30997,2,0,0,ok
18.0,20chol,309.065,-456551.221724,1.11923,3.66283,4.24457,5.33981,3.66283,2,0,0,ok
18.0,40chol,311.954,-447868.159496,1.52367,3.88658,3.88658,6.79562,6.94696,2,0,0,ok
19.0,20chol,309.576,-457189.724653,1.68964,3.99643,4.13175,5.51946,3.99643,2,0,0,ok
19.0,40chol,311.425,-446232.044261,1.21298,3.6088,3.6088,6.28366,6.77538,2,0,0,ok
20.0,20chol,308.697,-455572.234419,2.22091,3.42301,3.42301,5.03015,3.90031,2,0,0,ok
20.0,40chol,311.457,-447895.324535,0.908975,3.24967,3.24967,6.09905,5.62818,2,0,0,ok
21.0,20chol,310.128,-455679.480513,1.37255,3.68755,4.0826,5.10582,3.68755,2,0,0,ok
21.0,40chol,309.486,-446927.836253,1.07667,3.45174,3.45174,6.21821,6.45113,2,0,0,ok
22.0,20chol,310.401,-455242.114302,1.60017,3.53257,3.53257,3.77848,3.69369,2,0,0,ok
22.0,40chol,311.864,-445465.214183,1.25561,3.51185,3.51185,6.77358,6.28731,2,0,0,ok
23.0,20chol,310.921,-457055.44145,1.6524,3.78293,3.89132,4.01181,3.78293,2,0,0,ok
23.0,40chol,309.631,-445312.478832,0.995312,3.5092,3.5092,6.0627,5.95398,2,0,0,ok
24.0,20chol,311.374,-455023.306685,1.76652,3.20376,4.47288,4.13571,3.20376,2,0,0,ok
24.0,40chol,309.504,-445630.172191,0.928112,3.83605,3.83605,6.10482,6.2821,2,0,0,ok
25.0,20chol,311.119,-456527.155317,1.47882,3.31878,4.11986,4.09768,3.31878,2,0,0,ok
25.0,40chol,310.64,-446728.339183,0.899726,3.72053,3.72053,5.83445,6.19156,2,0,0,ok
26.0,20chol,310.962,-456214.369185,1.2399,3.94092,3.94092,4.76152,4.4245,2,0,0,ok
26.0,40chol,310.698,-448163.306468,1.20576,3.6315,3.6315,5.61654,6.43846,2,0,0,ok
27.0,20chol,310.741,-456934.122114,1.26181,3.96277,4.46508,4.85437,3.96277,2,0,0,ok
27.0,40chol,310.089,-447064.157542,0.922643,3.40199,3.40199,5.5129,5.71828,2,0,0,ok
28.0,20chol,310.527,-457018.793013,1.39124,3.53728,3.53728,4.04026,3.60764,2,0,0,ok
28.0,40chol,310.933,-447625.416332,1.04292,3.57599,3.57599,5.99786,6.39141,2,0,0,ok
29.0,20chol,311.708,-455403.501021,1.24579,3.45308,3.45308,4.02333,4.07578,2,0,0,ok
29.0,40chol,312.782,-447000.456371,1.12283,3.29437,3.29437,5.99011,6.85223,2,0,0,ok
30.0,20chol,308.584,-454756.394575,1.34181,3.63842,3.77501,4.07549,3.63842,2,0,0,ok
30.0,40chol,310.777,-447656.257152,1.57407,3.17433,3.17433,5.81969,6.64156,2,0,0,ok
31.0,20chol,311.869,-456027.129927,1.6884,3.68746,3.68746,3.80777,3.69843,2,0,0,ok
31.0,40chol,309.202,-446434.186351,1.4668,3.49919,3.49919,6.33852,7.15946,2,0,0,ok
32.0,20chol,311.215,-457477.874067,1.39608,3.5775,3.5775,4.7336,4.1855,2,0,0,ok
32.0,40chol,310.286,-446936.747386,1.15715,3.49801,3.49801,6.31669,6.95324,2,0,0,ok
33.0,20chol,311.058,-456592.782271,1.77305,3.50267,3.75117,4.59195,3.50267,2,0,0,ok
33.0,40chol,309.605,-446464.860667,1.24868,3.53708,3.53708,6.70129,7.26609,2,0,0,ok
34.0,20chol,309.919,-457336.427778,2.11133,3.55124,3.59453,3.93755,3.55124,2,0,0,ok
34.0,40chol,309.876,-446282.999339,1.20097,3.5873,3.5873,6.20678,6.3879,2,0,0,ok
35.0,20chol,311.525,-455834.938521,1.59268,3.69306,3.69306,4.46448,3.70632,2,0,0,ok
35.0,40chol,310.859,-446159.622874,1.23218,3.60878,3.60878,6.01111,6.41427,2,0,0,ok
36.0,20chol,312.448,-456348.505903,1.60312,3.3776,3.3776,4.24761,3.89499,2,0,0,ok
36.0,40chol,313.187,-448093.289378,1.44832,3.52259,3.52259,7.05824,5.51066,2,0,0,ok
37.0,20chol,311.87,-455149.433638,1.39541,3.32711,4.13103,4.31663,3.32711,2,0,0,ok
37.0,40chol,310.118,-447447.210277,1.42085,3.85036,3.85036,6.93383,6.08508,2,0,0,ok
38.0,20chol,310.295,-454908.06938,1.56421,3.30304,3.92599,5.39174,3.30304,2,0,0,ok
38.0,40chol,310.005,-447897.032542,1.30742,3.51474,3.51474,6.57362,6.65075,2,0,0,ok
39.0,20chol,312.003,-457460.476607,1.73321,3.51223,3.9421,4.40202,3.51223,2,0,0,ok
39.0,40chol,311.15,-446492.701488,1.31596,3.59316,3.59316,6.18856,6.38778,2,0,0,ok
40.0,20chol,310.758,-457157.698286,1.09455,3.46217,3.79187,4.70779,3.46217,2,0,0,ok
40.0,40chol,309.422,-447237.681957,1.92747,3.62508,3.62508,6.67782,6.48183,2,0,0,ok
41.0,20chol,310.245,-457611.223677,1.44473,3.4631,4.06913,4.45423,3.4631,2,0,0,ok
41.0,40chol,310.808,-447388.357738,1.81408,3.66632,3.66632,6.4163,6.30086,2,0,0,ok
42.0,20chol,309.768,-456292.4102,1.05702,3.48877,3.48877,4.61244,3.78859,2,0,0,ok
42.0,40chol,310.635,-446360.126292,1.5406,3.63747,3.63747,6.89352,6.77298,2,0,0,ok
43.0,20chol,309.564,-455870.936567,1.34324,3.36797,3.36797,4.75235,3.60366,2,0,0,ok
43.0,40chol,311.672,-446338.417308,1.67564,3.72464,3.72464,6.89254,6.94361,2,0,0,ok
44.0,20chol,312.623,-455797.919966,0.982943,3.52932,3.52932,5.07127,4.05003,2,0,0,ok
44.0,40chol,310.576,-446423.116039,1.71401,3.86575,3.86575,6.79134,6.72392,2,0,0,ok
45.0,20chol,309.623,-457073.046919,1.45049,3.28268,3.36412,4.85872,3.28268,2,0,0,ok
45.0,40chol,311.591,-448490.948558,1.78958,4.06799,4.06799,6.67457,6.71379,2,0,0,ok
46.0,20chol,309.828,-456644.567915,1.7058,3.37581,4.13769,4.66281,3.37581,2,0,0,ok
46.0,40chol,312.533,-446332.293285,1.76501,3.42652,3.42652,6.02966,6.44894,2,0,0,ok
47.0,20chol,310.387,-456534.318403,1.5002,3.81533,3.88114,4.15183,3.81533,2,0,0,ok
47.0,40chol,314.11,-446473.605785,1.76615,3.53872,3.53872,6.41784,6.64008,2,0,0,ok
48.0,20chol,308.821,-456260.0352,1.81458,3.4733,4.44352,4.69232,3.4733,2,0,0,ok
48.0,40chol,310.703,-447644.156566,1.48391,3.55503,3.55503,6.70617,6.36849,2,0,0,ok
49.0,20chol,311.579,-456838.730513,1.55859,3.64024,4.58539,5.59107,3.64024,2,0,0,ok
49.0,40chol,311.386,-447237.530589,1.71556,3.67226,3.67226,6.88737,6.50393,2,0,0,ok
50.0,20chol,311.19,-455472.561567,1.60179,3.9977,4.53895,5.45565,3.9977,2,0,0,ok
50.0,40chol,310.5,-447680.731761,1.26608,3.53939,3.53939,6.07033,6.38285,2,0,0,ok
51.0,20chol,309.935,-455978.071333,1.65574,3.92598,5.03961,4.94751,3.92598,2,0,0,ok
51.0,40chol,310.505,-445572.939769,1.41385,3.29876,3.29876,5.6923,6.50538,2,0,0,ok
52.0,20chol,310.817,-456807.672896,1.39594,3.58967,3.7806,4.91318,3.58967,2,0,0,ok
52.0,40chol,309.28,-446237.196605,1.39326,3.91385,3.91385,6.46132,6.96156,2,0,0,ok
53.0,20chol,310.161,-456673.293989,2.26569,3.25378,4.13034,4.58979,3.25378,2,0,0,ok
53.0,40chol,308.512,-445756.737621,1.86424,3.33913,3.33913,6.7059,7.31942,2,0,0,ok
54.0,20chol,308.057,-456327.404341,2.13386,3.89286,4.36146,4.27441,3.89286,2,0,0,ok
54.0,40chol,309.726,-445198.870921,1.48306,3.12979,3.12979,6.27006,7.40711,2,0,0,ok
55.0,20chol,310.445,-456595.710005,2.25175,3.62485,3.62485,4.72785,4.12317,2,0,0,ok
55.0,40chol,311.844,-446563.013988,0.935974,3.36563,3.36563,5.71162,6.35334,2,0,0,ok
56.0,20chol,310.073,-455994.389692,1.84848,3.59184,4.04299,4.87629,3.59184,2,0,0,ok
56.0,40chol,309.617,-447919.701488,1.15793,3.41454,3.41454,6.23126,6.49587,2,0,0,ok
57.0,20chol,310.489,-456295.665083,1.61406,3.54006,3.85452,5.08832,3.54006,2,0,0,ok
57.0,40chol,310.309,-446634.721507,1.24088,3.76604,3.76604,6.00235,6.33788,2,0,0,ok
58.0,20chol,311.55,-455247.969771,1.55025,3.74495,3.74495,4.82558,4.21279,2,0,0,ok
58.0,40chol,310.937,-448073.711253,0.55985,3.55872,3.55872,5.82689,5.65125,2,0,0,ok
59.0,20chol,310.188,-456159.698286,1.53008,3.45642,3.45642,4.96293,3.5906,2,0,0,ok
59.0,40chol,308.733,-448294.858714,1.15145,3.46118,3.46118,6.15275,7.27615,2,0,0,ok
60.0,20chol,310.231,-455766.400435,1.57025,3.7739,4.29524,4.82237,3.7739,2,0,0,ok
60.0,40chol,312.32,-446706.888988,0.858587,3.6774,3.6774,5.90012,6.61993,2,0,0,ok
61.0,20chol,311.506,-457288.998091,1.66213,3.40542,3.94125,4.82009,3.40542,2,0,0,ok
61.0,40chol,312.255,-446903.181957,1.01837,3.59335,3.59335,6.35925,6.55818,2,0,0,ok
62.0,20chol,308.528,-457016.365278,1.37651,4.08804,4.53232,4.89906,4.08804,2,0,0,ok
62.0,40chol,307.357,-447910.606761,1.01928,3.39968,3.39968,6.11475,6.78557,2,0,0,ok
63.0,20chol,312.069,-456085.224653,1.25708,3.36474,4.07697,4.46157,3.36474,2,0,0,ok
63.0,40chol,310.181,-446401.474925,1.27136,3.56574,3.56574,6.6096,6.86494,2,0,0,ok
64.0,20chol,310.354,-455739.625044,1.18091,3.56865,3.96253,4.13055,3.56865,2,0,0,ok
64.0,40chol,308.445,-448060.710765,1.26713,3.41763,3.41763,6.26371,6.36078,2,0,0,ok
65.0,20chol,311.533,-458005.449263,1.66453,3.27508,3.27508,4.07926,3.41264,2,0,0,ok
65.0,40chol,309.896,-447217.516917,1.10575,3.4909,3.4909,6.38878,6.41605,2,0,0,ok
66.0,20chol,308.909,-457147.668989,1.60427,3.55937,4.07682,4.49137,3.55937,2,0,0,ok
66.0,40chol,309.304,-448787.560863,1.21124,3.92175,3.92175,6.54019,6.16645,2,0,0,ok
67.0,20chol,311.503,-457149.969282,1.41763,3.7241,3.85219,3.8285,3.7241,2,0,0,ok
67.0,40chol,309.341,-446407.235667,1.12206,3.09964,3.09964,6.52773,6.15486,2,0,0,ok
68.0,20chol,309.491,-457660.53813,1.30993,3.57447,4.1056,4.46961,3.57447,2,0,0,ok
68.0,40chol,310.159,-447340.853832,1.1664,3.93054,3.93054,6.52262,6.30549,2,0,0,ok
69.0,20chol,311.081,-457377.193403,1.62553,3.46705,3.46705,4.43229,3.74122,2,0,0,ok
69.0,40chol,310.739,-448375.074535,1.35625,3.78033,3.78033,6.46791,6.08931,2,0,0,ok
70.0,20chol,310.522,-455714.351607,1.46053,3.38422,3.41317,4.27441,3.38422,2,0,0,ok
70.0,40chol,310.689,-447531.635082,1.14222,3.47914,3.47914,6.12642,6.47285,2,0,0,ok
71.0,20chol,310.548,-455975.863325,1.35477,3.53586,3.53586,4.28171,3.53806,2,0,0,ok
71.0,40chol,312.347,-447696.497386,1.00501,3.52061,3.52061,5.99243,6.68101,2,0,0,ok
72.0,20chol,311.136,-457286.72856,1.25245,3.453,3.453,4.90553,3.81175,2,0,0,ok
72.0,40chol,308.982,-447537.532542,0.581563,3.62648,3.62648,5.34285,5.78616,2,0,0,ok
73.0,20chol,312.108,-456343.876997,1.19919,3.60329,3.67343,5.00662,3.60329,2,0,0,ok
73.0,40chol,311.208,-446963.986644,0.784029,3.5049,3.5049,5.90883,7.18364,2,0,0,ok
74.0,20chol,309.258,-455752.340864,1.47091,3.83059,3.95891,5.46533,3.83059,2,0,0,ok
74.0,40chol,309.599,-448496.436839,0.733868,3.21885,3.21885,5.30606,6.32516,2,0,0,ok
75.0,20chol,311.079,-456610.763716,1.97073,3.51048,4.01342,4.30633,3.51048,2,0,0,ok
75.0,40chol,311.515,-446393.050121,0.649566,3.3027,3.3027,5.72871,5.84899,2,0,0,ok
76.0,20chol,310.623,-456479.626997,1.56987,3.41787,3.41787,4.8903,3.99668,2,0,0,ok
76.0,40chol,309.117,-447908.082347,1.26098,3.32901,3.32901,6.45804,6.24038,2,0,0,ok
77.0,20chol,310.525,-456947.251997,2.02785,3.72598,3.95746,4.30923,3.72598,2,0,0,ok
77.0,40chol,309.833,-447694.356761,1.17635,3.6986,3.6986,6.41115,5.82931,2,0,0,ok
78.0,20chol,308.25,-457307.9727,2.27282,3.59617,3.71326,4.85911,3.59617,2,0,0,ok
78.0,40chol,309.745,-446460.214183,1.24231,3.62534,3.62534,6.72178,5.8217,2,0,0,ok
79.0,20chol,308.637,-454533.674849,1.5231,3.75257,3.75257,5.51559,3.92698,2,0,0,ok
79.0,40chol,310.147,-446266.794261,0.861279,3.45349,3.45349,5.9313,5.89784,2,0,0,ok
80.0,20chol,310.277,-456877.66606,1.55331,3.79995,3.79995,5.40198,4.67723,2,0,0,ok
80.0,40chol,310.406,-448634.064769,0.713482,3.44241,3.44241,5.42615,6.41631,2,0,0,ok
81.0,20chol,311.673,-456529.233442,1.69218,4.0583,4.0583,5.93562,4.78208,2,0,0,ok
81.0,40chol,310.74,-447792.579417,0.717991,3.49745,3.49745,5.37931,6.36688,2,0,0,ok
82.0,20chol,310.278,-456597.429243,0.99752,3.54561,3.54561,5.69061,4.1457,2,0,0,ok
82.0,40chol,311.148,-448353.320628,0.779146,3.35928,3.35928,5.54272,6.76204,2,0,0,ok
83.0,20chol,309.967,-455409.565474,0.895642,3.234,3.67897,6.43541,3.234,2,0,0,ok
83.0,40chol,310.55,-448996.816722,1.42854,3.42705,3.42705,7.07087,7.24273,2,0,0,ok
84.0,20chol,308.938,-456739.318403,1.25704,3.64333,3.64333,5.76225,4.00306,2,0,0,ok
84.0,40chol,309.913,-447360.077464,1.29072,3.94042,3.94042,6.32134,7.28246,2,0,0,ok
85.0,20chol,310.901,-457924.640669,1.40201,3.57543,3.57543,4.93654,4.17613,2,0,0,ok
85.0,40chol,310.309,-448115.789378,0.908842,3.29851,3.29851,6.19757,6.19652,2,0,0,ok
86.0,20chol,309.692,-457268.234419,1.93971,3.53121,3.80638,4.7257,3.53121,2,0,0,ok
86.0,40chol,310.547,-446797.328929,1.21848,3.67912,3.67912,6.68276,6.58877,2,0,0,ok
87.0,20chol,308.908,-457265.487349,1.95354,3.84607,3.84607,5.60927,3.9376,2,0,0,ok
87.0,40chol,307.72,-447790.242503,1.72697,3.63828,3.63828,7.09401,7.04033,2,0,0,ok
88.0,20chol,309.395,-457464.125044,1.64371,3.84668,3.85439,5.60288,3.84668,2,0,0,ok
88.0,40chol,309.238,-447379.319652,1.42134,3.92146,3.92146,6.29632,6.28305,2,0,0,ok
89.0,20chol,311.873,-458277.248091,1.33484,3.40929,3.91437,5.43609,3.40929,2,0,0,ok
89.0,40chol,309.385,-447817.051585,0.971495,3.49499,3.49499,6.34904,5.90733,2,0,0,ok
