time_ps,system,temperature_K,potential_energy_kJ_mol,ligand_rmsd_A,key_min_distance_A,TYR13_distance_A,VAL17_distance_A,SER20_distance_A,near_chains,severe_clashes,close_contacts,status
1.0,20chol,310.536,-453681.960612,0.675177,3.95805,3.95805,4.19474,5.23463,2,0,0,ok
1.0,40chol,308.556,-446038.149544,1.01087,3.72347,3.72347,4.33477,5.95041,2,0,0,ok
2.0,20chol,310.85,-455203.591472,0.63903,4.03243,4.03243,4.0682,4.6763,2,0,0,ok
2.0,40chol,310.271,-447650.547982,1.70398,3.39612,3.39612,4.83834,6.30403,2,0,0,ok
3.0,20chol,310.198,-456228.752605,0.508017,3.52396,3.52396,3.5863,4.72323,2,0,0,ok
3.0,40chol,312.206,-446122.658334,1.75759,3.52049,3.52049,4.11109,6.25676,2,0,0,ok
4.0,20chol,310.142,-455352.986491,0.888537,3.4572,3.4572,4.26816,5.48349,2,0,0,ok
4.0,40chol,309.589,-445229.59388,1.54434,3.39016,3.39016,4.72506,6.51894,2,0,0,ok
5.0,20chol,311.041,-453971.2653,0.519761,3.54453,3.54453,3.95748,4.6213,2,0,0,ok
5.0,40chol,310.18,-446103.754037,1.38885,3.63433,3.63433,4.71419,6.41367,2,0,0,ok
6.0,20chol,311.389,-455202.312663,1.12171,3.58702,3.58702,3.94154,4.872,2,0,0,ok
6.0,40chol,309.589,-446564.021615,1.41413,3.34962,4.06468,3.34962,5.90633,2,0,0,ok
7.0,20chol,310.897,-454853.345378,1.04029,3.52308,3.52308,4.02213,5.06082,2,0,0,ok
7.0,40chol,309.873,-445784.267709,1.70969,3.42027,3.42027,4.2806,7.02708,2,0,0,ok
8.0,20chol,310.185,-455586.769206,1.12657,3.86656,4.5542,3.86656,4.27127,2,0,0,ok
8.0,40chol,307.565,-446374.063119,1.07462,3.8622,3.8622,3.9074,6.84611,2,0,0,ok
9.0,20chol,311.777,-456034.401042,1.00312,4.12691,4.29696,4.12691,4.86811,2,0,0,ok
9.0,40chol,310.212,-446049.078255,1.6275,3.56652,3.56652,4.63424,7.5669,2,0,0,ok
10.0,20chol,308.502,-454385.034831,0.642151,3.89786,4.09761,3.89786,5.1173,2,0,0,ok
10.0,40chol,310.345,-447028.94349,1.87134,3.59672,3.59672,4.93989,6.72269,2,0,0,ok
11.0,20chol,311.707,-454607.418132,0.933206,3.706,3.706,4.04863,3.80284,2,0,0,ok
11.0,40chol,310.421,-446578.419076,1.81426,3.37922,3.37922,4.16709,6.92351,2,0,0,ok
12.0,20chol,307.853,-455168.000651,0.683855,3.56952,3.56952,3.70163,3.77329,2,0,0,ok
12.0,40chol,310.6,-449000.576302,1.35336,3.64095,3.64095,3.83819,6.78674,2,0,0,ok
13.0,20chol,310.83,-454990.088542,0.596524,3.99917,4.05501,3.99917,4.60683,2,0,0,ok
13.0,40chol,307.699,-446780.868294,1.58329,3.51862,3.51862,5.03957,7.42447,2,0,0,ok
14.0,20chol,310.166,-454518.370769,0.802877,3.49618,3.49618,3.91392,4.56626,2,0,0,ok
14.0,40chol,312.233,-446876.13099,1.19881,2.94422,2.94422,3.44158,6.38191,2,0,0,ok
15.0,20chol,312.384,-455555.848308,0.974068,3.75691,3.75691,3.91631,5.74572,2,0,0,ok
15.0,40chol,311.927,-447821.082162,1.4891,3.30372,3.30372,4.16978,7.49947,2,0,0,ok
16.0,20chol,309.071,-455499.657878,1.10603,3.5342,3.5342,4.14826,5.77311,2,0,0,ok
16.0,40chol,309.809,-446905.68763,1.16707,3.3153,3.3153,4.47172,6.29119,2,0,0,ok
17.0,20chol,310.167,-455665.915691,1.25586,3.52684,3.52684,4.60133,5.78452,2,0,0,ok
17.0,40chol,308.338,-447715.473763,1.34161,3.52045,3.52045,4.00629,6.23124,2,0,0,ok
18.0,20chol,309.945,-455498.241862,1.23879,3.82448,3.82448,4.28017,5.99513,2,0,0,ok
18.0,40chol,312.287,-448136.435677,1.63029,3.7978,3.7978,4.82831,7.36765,2,0,0,ok
19.0,20chol,312.256,-455016.489909,1.27099,3.81632,3.81632,4.02126,5.36206,2,0,0,ok
19.0,40chol,308.26,-446699.026498,1.42206,3.57419,3.57419,4.79959,6.094,2,0,0,ok
20.0,20chol,311.261,-454693.454753,1.15629,3.35967,3.35967,4.22992,4.90641,2,0,0,ok
20.0,40chol,312.639,-446835.09388,1.54833,3.42244,3.42244,5.01297,7.61412,2,0,0,ok
21.0,20chol,310.122,-455924.914714,1.42029,3.47029,3.47029,3.84858,5.66415,2,0,0,ok
21.0,40chol,312.721,-447474.891732,1.81397,3.48443,3.48443,5.47758,7.4433,2,0,0,ok
22.0,20chol,310.746,-455856.510417,1.29255,3.47679,3.48929,3.47679,5.78003,2,0,0,ok
22.0,40chol,313.055,-446751.844857,1.64542,3.69862,3.69862,4.20777,7.07106,2,0,0,ok
23.0,20chol,309.751,-455696.182292,1.2039,3.56614,3.56614,3.8601,5.2224,2,0,0,ok
23.0,40chol,309.459,-446656.72181,1.66252,3.59813,3.59813,4.99313,7.37108,2,0,0,ok
24.0,20chol,308.944,-455783.648112,0.968926,3.4702,3.4702,4.09247,5.19963,2,0,0,ok
24.0,40chol,311.173,-446486.741341,1.73957,3.55086,3.55086,5.64421,7.38428,2,0,0,ok
25.0,20chol,310.254,-455962.846355,1.33915,3.65276,3.65276,3.78448,6.32452,2,0,0,ok
25.0,40chol,310.08,-448232.543099,1.69366,3.85345,3.85345,5.82679,7.82193,2,0,0,ok
26.0,20chol,309.086,-456710.67448,1.66528,3.61332,3.61332,3.93753,5.56271,2,0,0,ok
26.0,40chol,311.416,-447256.743294,1.65335,3.6286,3.6286,5.85927,6.72634,2,0,0,ok
27.0,20chol,310.094,-455524.219401,1.58673,3.73375,3.73375,3.86108,5.80445,2,0,0,ok
27.0,40chol,310.756,-446428.384896,1.44788,3.34824,3.34824,5.47804,6.82427,2,0,0,ok
28.0,20chol,309.323,-454949.552409,1.59608,3.78506,3.78506,3.87903,6.0424,2,0,0,ok
