time_ps,system,temperature_K,potential_energy_kJ_mol,ligand_rmsd_A,key_min_distance_A,TYR13_distance_A,VAL17_distance_A,SER20_distance_A,near_chains,severe_clashes,close_contacts,status
0,20chol,309.929,-453981,0.000476316,3.70177,,,,2,0,0,ok
0,40chol,311.039,-446508,0.000487925,3.82823,3.82823,7.75557,6.50974,2,0,0,ok
1,20chol,309.217,-452579,0.503798,4.21125,,,,2,0,0,ok
1,40chol,310.1,-445098,0.852046,3.39189,3.39189,7.42041,6.99691,2,0,0,ok
2,20chol,310.863,-451757,0.423546,3.52129,6.37826,3.52128,4.39362,2,0,0,ok
2,40chol,308.877,-446208,0.600717,4.05797,4.05797,7.86657,6.84386,2,0,0,ok
3,20chol,310.722,-453492,0.992407,4.53247,,,,2,0,0,ok
3,40chol,309.201,-446176,0.690123,3.43123,3.43123,7.85192,7.35449,2,0,0,ok
4,20chol,310.196,-452069,0.619609,4.0108,7.40568,4.0108,4.53644,2,0,0,ok
4,40chol,313.342,-445663,0.86972,3.58119,3.58119,7.70605,7.22397,2,0,0,ok
5,20chol,309.714,-452617,0.588462,4.07273,,,,2,0,0,ok
5,40chol,312.364,-444842,0.964358,3.57403,3.57403,8.14553,8.22623,2,0,0,ok
6,20chol,309.57,-452690,0.538566,3.47675,5.65498,3.47674,3.57497,2,0,0,ok
6,40chol,312.194,-444500,1.33293,3.23686,3.23686,8.76427,8.38726,2,0,0,ok
7,20chol,313.268,-452087,0.646708,3.50428,,,,2,0,0,ok
7,40chol,309.972,-445541,1.20457,3.45826,3.45826,7.67878,7.93837,2,0,0,ok
8,20chol,309.889,-451634,0.678815,3.71623,6.31735,3.71622,3.75906,2,0,0,ok
8,40chol,311.192,-446322,0.915069,3.95538,3.95538,7.91558,7.72846,2,0,0,ok
9,20chol,311.399,-453122,0.871391,3.52417,,,,2,0,0,ok
9,40chol,311.406,-444839,1.28292,3.43157,3.43157,8.28391,8.03318,2,0,0,ok
10,20chol,306.937,-451867,1.07272,3.81452,6.90506,3.90506,3.81452,2,0,0,ok
10,40chol,310.904,-446545,1.73064,4.6325,4.6325,8.14351,8.43514,2,0,0,ok
11,20chol,310.32,-451286,1.1489,3.39091,,,,2,0,0,ok
11,40chol,310.26,-444682,1.70349,3.72146,3.72146,7.62065,8.36398,2,0,0,ok
12,20chol,309.744,-452166,0.813027,3.34915,6.53028,3.6478,3.34915,2,0,0,ok
12,40chol,309.266,-447280,1.69558,4.71103,4.71103,8.262,8.12625,2,0,0,ok
13,20chol,311.562,-452571,1.05057,3.88379,,,,2,0,0,ok
13,40chol,310.69,-446473,1.61995,3.60938,3.60938,8.5537,8.01532,2,0,0,ok
14,20chol,309.668,-453200,0.995045,3.98186,6.56717,4.35137,3.98186,2,0,0,ok
14,40chol,312.142,-447551,1.51531,3.4907,3.4907,7.86616,8.23258,2,0,0,ok
15,20chol,311.231,-451237,0.858155,3.63146,,,,2,0,0,ok
15,40chol,309.868,-445203,1.21187,3.74492,3.74492,8.04841,7.66446,2,0,0,ok
16,20chol,309.331,-452569,0.91967,3.9791,7.39671,3.9791,3.99824,2,0,0,ok
16,40chol,309.758,-445420,1.39183,4.26174,4.26174,8.28416,7.81401,2,0,0,ok
17,20chol,309.552,-452711,0.765075,3.71116,,,,2,0,0,ok
17,40chol,311.511,-446865,1.36269,3.71039,3.71039,8.05556,7.85005,2,0,0,ok
18,20chol,308.956,-451991,0.594184,3.41507,6.47971,3.41506,3.5643,2,0,0,ok
18,40chol,308.077,-446146,0.827498,3.32374,3.32374,7.99275,6.97583,2,0,0,ok
19,20chol,310.237,-452400,0.739984,3.58744,,,,2,0,0,ok
19,40chol,308.955,-445768,1.39007,3.71648,3.71648,7.82989,7.03677,2,0,0,ok
20,20chol,309.756,-450740,0.766032,3.44968,7.74229,3.44968,4.49621,2,0,0,ok
20,40chol,311.442,-445903,1.32731,3.94008,3.94008,8.0655,6.92539,2,0,0,ok
21,20chol,308.625,-451958,0.722074,3.65133,,,,2,0,0,ok
21,40chol,308.028,-446874,1.15879,3.95213,3.95213,7.76361,7.68289,2,0,0,ok
22,20chol,309.817,-452189,0.656363,3.70716,7.60168,3.70716,4.13057,2,0,0,ok
22,40chol,309.509,-445707,1.04034,4.38968,4.38968,8.36031,7.76625,2,0,0,ok
23,20chol,312.01,-452016,0.832585,3.40633,,,,2,0,0,ok
23,40chol,309.781,-444284,1.26438,3.51484,3.51484,8.45857,8.32456,2,0,0,ok
24,20chol,308.737,-452625,0.704221,3.72081,6.46434,3.72081,3.90782,2,0,0,ok
24,40chol,312.433,-445694,1.41522,3.70913,3.70913,8.11764,8.01306,2,0,0,ok
25,20chol,311.726,-452078,0.570619,3.54603,,,,2,0,0,ok
25,40chol,309.332,-446280,1.36913,3.65437,3.65437,8.42236,8.14535,2,0,0,ok
26,20chol,310.333,-451846,0.669982,3.48025,6.56207,3.48024,3.65748,2,0,0,ok
26,40chol,307.626,-445501,1.35841,3.28488,3.28488,8.7559,7.77969,2,0,0,ok
27,20chol,308.96,-451798,0.872823,3.43369,,,,2,0,0,ok
